invoice_number,invoice_date,invoice_type,direction,product_code,product_name,quantity,unit_price,total_value,partner_cui,partner_name,linked_invoice
RF5591,2024-03-05,factura,received,P012,LANT SIMPLU 428H 128 ZALE,59,24.53,1447.27,RO40000003,SC Auto Parts Distribution SA,
FC1544,2024-03-06,factura,issued,P019,Bieleta directie tractor,23,70.84,1629.32,RO45678901,SC Agroservice Dobrogea SRL,
FC1434,2024-03-07,factura,issued,P021,Placuta frana set 4buc,7,88.5,619.5,RO34567890,SC Tehnica Agricola SA,
FC1434,2024-03-07,factura,issued,P002,Curea trapezoidala B68,32,21.76,696.32,RO34567890,SC Tehnica Agricola SA,
FC2162,2024-03-07,factura,issued,P004,Bujie tractor U650,32,12.35,395.2,RO33445566,SC Agro Moldova SRL,
FC2162,2024-03-07,factura,issued,P008,Garnitura chiulasa U650,10,95.55,955.5,RO33445566,SC Agro Moldova SRL,
FC1002,2024-03-08,factura,issued,P005,Disc frictiune ambreiaj U650,32,211.89,6780.48,RO12345678,SC Agro Muntenia SRL,
FC1274,2024-03-08,factura,issued,P013,Termostat motor 82C,9,31.44,282.96,RO78901234,SC Holding Cereale SRL,
FC1274,2024-03-08,factura,issued,P017,Pompa injectie Lucas DPC,1,761.32,761.32,RO78901234,SC Holding Cereale SRL,
FC1274,2024-03-08,factura,issued,P018,Arc supapa motor D-110,39,6.32,246.48,RO78901234,SC Holding Cereale SRL,
FC1274,2024-03-08,factura,issued,P001,Rulment 6205-2RS SKF,26,28.67,745.42,RO78901234,SC Holding Cereale SRL,
RF5482,2024-03-10,factura,received,P013,TERMOSTAT 82 GRADE UNIVERSAL,65,14.23,924.95,RO40000003,SC Auto Parts Distribution SA,
FC1003,2024-03-11,factura,issued,P020,Rulment roata fata 6307,24,40.76,978.24,RO12345678,SC Agro Muntenia SRL,
FC1003,2024-03-11,factura,issued,P025,Cablu ambreiaj U651,19,28.51,541.69,RO12345678,SC Agro Muntenia SRL,
FC1632,2024-03-11,factura,issued,P013,Termostat motor 82C,6,32.61,195.66,RO23456789,SC Ferma Verde SRL,
FC1632,2024-03-11,factura,issued,P009,Filtru aer motor John Deere,17,62.15,1056.55,RO23456789,SC Ferma Verde SRL,
FC1709,2024-03-11,factura,issued,P002,Curea trapezoidala B68,23,21.95,504.85,RO56789012,SC Utilaje Campiei SRL,
FC1842,2024-03-11,factura,issued,P011,Semering ax roata 50x72x10,26,9.5,247.0,RO89012345,SC Piese Tractor Nord SRL,
FC1842,2024-03-11,factura,issued,P023,Radiator apa tractor 4 cilindri,2,323.61,647.22,RO89012345,SC Piese Tractor Nord SRL,
FC1842,2024-03-11,factura,issued,P026,Buton contact pornire,13,8.86,115.18,RO89012345,SC Piese Tractor Nord SRL,
FC1842,2024-03-11,factura,issued,P008,Garnitura chiulasa U650,5,92.83,464.15,RO89012345,SC Piese Tractor Nord SRL,
FC2096,2024-03-11,factura,issued,P012,Lant transmisie 428H-128L,15,54.6,819.0,RO22334455,SC Utilaje Iasi SRL,
FC2096,2024-03-11,factura,issued,P001,Rulment 6205-2RS SKF,35,27.99,979.65,RO22334455,SC Utilaje Iasi SRL,
FC1004,2024-03-12,factura,issued,P004,Bujie tractor U650,86,12.38,1064.68,RO12345678,SC Agro Muntenia SRL,
FC1004,2024-03-12,factura,issued,P026,Buton contact pornire,16,8.78,140.48,RO12345678,SC Agro Muntenia SRL,
RF5285,2024-03-12,factura,received,P008,GARNITURA CHIULASA D-110 6 CIL,44,46.07,2027.08,RO40000004,SC Agro Import SRL,
FC1275,2024-03-13,factura,issued,P017,Pompa injectie Lucas DPC,2,775.43,1550.86,RO78901234,SC Holding Cereale SRL,
FC1435,2024-03-13,factura,issued,P001,Rulment 6205-2RS SKF,41,28.53,1169.73,RO34567890,SC Tehnica Agricola SA,
FC1435,2024-03-13,factura,issued,P012,Lant transmisie 428H-128L,16,56.38,902.08,RO34567890,SC Tehnica Agricola SA,
FC1435,2024-03-13,factura,issued,P021,Placuta frana set 4buc,8,85.43,683.44,RO34567890,SC Tehnica Agricola SA,
FC1782,2024-03-13,factura,issued,P009,Filtru aer motor John Deere,17,61.96,1053.32,RO67890123,SC Agrotrans Olt SRL,
FC1782,2024-03-13,factura,issued,P005,Disc frictiune ambreiaj U650,16,203.94,3263.04,RO67890123,SC Agrotrans Olt SRL,
FC1782,2024-03-13,factura,issued,P017,Pompa injectie Lucas DPC,5,799.06,3995.3,RO67890123,SC Agrotrans Olt SRL,
RF5564,2024-03-13,factura,received,P010,BOLT PISTON D=80MM OTEL 42CrMo,47,8.34,391.98,RO40000004,SC Agro Import SRL,
FC1005,2024-03-14,factura,issued,P022,Filtru combustibil universal,59,24.68,1456.12,RO12345678,SC Agro Muntenia SRL,
FC1005,2024-03-14,factura,issued,P025,Cablu ambreiaj U651,18,27.8,500.4,RO12345678,SC Agro Muntenia SRL,
FC1005,2024-03-14,factura,issued,P024,Garnitura capac distributie,31,15.05,466.55,RO12345678,SC Agro Muntenia SRL,
FC1005,2024-03-14,factura,issued,P017,Pompa injectie Lucas DPC,2,795.42,1590.84,RO12345678,SC Agro Muntenia SRL,
RF5030,2024-03-14,factura,received,P026,CONTACT CHEIE PORNIRE 2 POZITII,76,3.76,285.76,RO40000003,SC Auto Parts Distribution SA,
RF5314,2024-03-14,factura,received,P002,CUREA B-68 LA TRAPEZ,216,10.83,2339.28,RO40000003,SC Auto Parts Distribution SA,
FC1925,2024-03-15,factura,issued,P013,Termostat motor 82C,17,32.83,558.11,RO90123456,SC Bazele Agriculturii SRL,
FC1925,2024-03-15,factura,issued,P004,Bujie tractor U650,36,12.78,460.08,RO90123456,SC Bazele Agriculturii SRL,
FC1925,2024-03-15,factura,issued,P010,Bolt piston 80mm,16,17.6,281.6,RO90123456,SC Bazele Agriculturii SRL,
RF5090,2024-03-15,factura,received,P005,DISC AMBREIAJ COMPLET U-650 MAN,168,103.52,17391.36,RO40000004,SC Agro Import SRL,
RF5001,2024-03-16,factura,received,P024,GARNITURA CAPAC DISTRIBUTIE SET,134,6.37,853.58,RO40000004,SC Agro Import SRL,
RF5190,2024-03-16,factura,received,P017,POMPA INJECTIE LUCAS DPC 4CIL,16,392.65,6282.4,RO40000004,SC Agro Import SRL,
RF5536,2024-03-16,factura,received,P021,KIT PLACUTE FRANA FATA 4BUC,45,40.7,1831.5,RO40000003,SC Auto Parts Distribution SA,
RF5118,2024-03-17,factura,received,P020,RULMENT RADIAL 6307-2Z SKF,104,19.23,1999.92,RO40000001,SC Rulmenti SA Barlad,
FC1006,2024-03-18,factura,issued,P019,Bieleta directie tractor,24,71.09,1706.16,RO12345678,SC Agro Muntenia SRL,
FC1006,2024-03-18,factura,issued,P024,Garnitura capac distributie,29,14.62,423.98,RO12345678,SC Agro Muntenia SRL,
FC1006,2024-03-18,factura,issued,P003,Filtru ulei hidraulic JCB,52,83.64,4349.28,RO12345678,SC Agro Muntenia SRL,
FC1006,2024-03-18,factura,issued,P005,Disc frictiune ambreiaj U650,34,204.97,6968.98,RO12345678,SC Agro Muntenia SRL,
FC1276,2024-03-18,factura,issued,P018,Arc supapa motor D-110,39,6.5,253.5,RO78901234,SC Holding Cereale SRL,
FC1276,2024-03-18,factura,issued,P002,Curea trapezoidala B68,28,21.72,608.16,RO78901234,SC Holding Cereale SRL,
FC1436,2024-03-18,factura,issued,P020,Rulment roata fata 6307,11,42.17,463.87,RO34567890,SC Tehnica Agricola SA,
FC1436,2024-03-18,factura,issued,P001,Rulment 6205-2RS SKF,34,28.64,973.76,RO34567890,SC Tehnica Agricola SA,
FC1436,2024-03-18,factura,issued,P002,Curea trapezoidala B68,21,22.61,474.81,RO34567890,SC Tehnica Agricola SA,
FC1545,2024-03-18,factura,issued,P018,Arc supapa motor D-110,43,6.61,284.23,RO45678901,SC Agroservice Dobrogea SRL,
FC1545,2024-03-18,factura,issued,P012,Lant transmisie 428H-128L,17,54.63,928.71,RO45678901,SC Agroservice Dobrogea SRL,
FC2039,2024-03-18,factura,issued,P018,Arc supapa motor D-110,42,6.55,275.1,RO11223344,SC Agro Suceava SRL,
RF5060,2024-03-18,factura,received,P004,BUJIE M14x1.25 ECH. U650,567,5.78,3277.26,RO40000003,SC Auto Parts Distribution SA,
FC2097,2024-03-19,factura,issued,P002,Curea trapezoidala B68,26,22.24,578.24,RO22334455,SC Utilaje Iasi SRL,
FC2097,2024-03-19,factura,issued,P001,Rulment 6205-2RS SKF,30,27.75,832.5,RO22334455,SC Utilaje Iasi SRL,
FC2097,2024-03-19,factura,issued,P021,Placuta frana set 4buc,8,90.42,723.36,RO22334455,SC Utilaje Iasi SRL,
RF5216,2024-03-19,factura,received,P019,BIELETA DIRECTIE CAT.2 500MM,118,34.66,4089.88,RO40000002,SC Hidraulica Industriala SRL,
FC1843,2024-03-20,factura,issued,P002,Curea trapezoidala B68,28,22.17,620.76,RO89012345,SC Piese Tractor Nord SRL,
FC1843,2024-03-20,factura,issued,P024,Garnitura capac distributie,13,14.98,194.74,RO89012345,SC Piese Tractor Nord SRL,
FC1843,2024-03-20,factura,issued,P020,Rulment roata fata 6307,13,42.49,552.37,RO89012345,SC Piese Tractor Nord SRL,
FC1843,2024-03-20,factura,issued,P019,Bieleta directie tractor,20,70.36,1407.2,RO89012345,SC Piese Tractor Nord SRL,
FC1843,2024-03-20,factura,issued,P025,Cablu ambreiaj U651,8,28.02,224.16,RO89012345,SC Piese Tractor Nord SRL,
FC2163,2024-03-20,factura,issued,P025,Cablu ambreiaj U651,14,27.31,382.34,RO33445566,SC Agro Moldova SRL,
FC2163,2024-03-20,factura,issued,P026,Buton contact pornire,7,8.98,62.86,RO33445566,SC Agro Moldova SRL,
FC2163,2024-03-20,factura,issued,P024,Garnitura capac distributie,13,15.29,198.77,RO33445566,SC Agro Moldova SRL,
FC1007,2024-03-21,factura,issued,P007,Furtun hidraulic 1/2 1m,48,37.47,1798.56,RO12345678,SC Agro Muntenia SRL,
FC1007,2024-03-21,factura,issued,P008,Garnitura chiulasa U650,20,97.49,1949.8,RO12345678,SC Agro Muntenia SRL,
FC1007,2024-03-21,factura,issued,P005,Disc frictiune ambreiaj U650,34,211.87,7203.58,RO12345678,SC Agro Muntenia SRL,
FC1277,2024-03-21,factura,issued,P010,Bolt piston 80mm,14,17.81,249.34,RO78901234,SC Holding Cereale SRL,
FC1277,2024-03-21,factura,issued,P016,Injector motor diesel Perkins,8,143.28,1146.24,RO78901234,SC Holding Cereale SRL,
FC1277,2024-03-21,factura,issued,P017,Pompa injectie Lucas DPC,1,763.3,763.3,RO78901234,SC Holding Cereale SRL,
FC1633,2024-03-21,factura,issued,P013,Termostat motor 82C,13,31.74,412.62,RO23456789,SC Ferma Verde SRL,
FC1633,2024-03-21,factura,issued,P024,Garnitura capac distributie,5,15.11,75.55,RO23456789,SC Ferma Verde SRL,
FC1633,2024-03-21,factura,issued,P026,Buton contact pornire,6,8.9,53.4,RO23456789,SC Ferma Verde SRL,
FC1633,2024-03-21,factura,issued,P022,Filtru combustibil universal,35,23.37,817.95,RO23456789,SC Ferma Verde SRL,
FC1710,2024-03-21,factura,issued,P011,Semering ax roata 50x72x10,37,9.51,351.87,RO56789012,SC Utilaje Campiei SRL,
FC1710,2024-03-21,factura,issued,P021,Placuta frana set 4buc,13,88.34,1148.42,RO56789012,SC Utilaje Campiei SRL,
FC1710,2024-03-21,factura,issued,P001,Rulment 6205-2RS SKF,44,28.8,1267.2,RO56789012,SC Utilaje Campiei SRL,
RF5142,2024-03-23,factura,received,P025,CABLU AMBREIAJ L=1200 TRACTORAS,124,11.8,1463.2,RO40000003,SC Auto Parts Distribution SA,
FC1008,2024-03-25,factura,issued,P024,Garnitura capac distributie,25,14.89,372.25,RO12345678,SC Agro Muntenia SRL,
FC1008,2024-03-25,factura,issued,P004,Bujie tractor U650,79,12.87,1016.73,RO12345678,SC Agro Muntenia SRL,
FC1278,2024-03-25,factura,issued,P010,Bolt piston 80mm,18,18.48,332.64,RO78901234,SC Holding Cereale SRL,
FC1278,2024-03-25,factura,issued,P002,Curea trapezoidala B68,15,22.5,337.5,RO78901234,SC Holding Cereale SRL,
FC1437,2024-03-25,factura,issued,P020,Rulment roata fata 6307,16,42.72,683.52,RO34567890,SC Tehnica Agricola SA,
FC1926,2024-03-25,factura,issued,P002,Curea trapezoidala B68,32,21.51,688.32,RO90123456,SC Bazele Agriculturii SRL,
FC1926,2024-03-25,factura,issued,P001,Rulment 6205-2RS SKF,32,29.14,932.48,RO90123456,SC Bazele Agriculturii SRL,
FC1984,2024-03-25,factura,issued,P019,Bieleta directie tractor,14,73.49,1028.86,RO01234567,SC Mecanica Campului SRL,
FC1984,2024-03-25,factura,issued,P023,Radiator apa tractor 4 cilindri,3,314.89,944.67,RO01234567,SC Mecanica Campului SRL,
RF5389,2024-03-25,factura,received,P001,RULMENT 6205-2RS/C3 DIN625,234,14.43,3376.62,RO40000001,SC Rulmenti SA Barlad,
RF5592,2024-03-25,factura,received,P012,LANT SIMPLU 428H 128 ZALE,66,24.93,1645.38,RO40000003,SC Auto Parts Distribution SA,
FC1009,2024-03-26,factura,issued,P024,Garnitura capac distributie,30,14.76,442.8,RO12345678,SC Agro Muntenia SRL,
FC1009,2024-03-26,factura,issued,P025,Cablu ambreiaj U651,27,27.21,734.67,RO12345678,SC Agro Muntenia SRL,
RF5240,2024-03-26,factura,received,P003,FILTRU HIDRAULIC BT8459 / P550228,171,41.49,7094.79,RO40000005,SC Pompe si Filtre SRL,
RF5461,2024-03-26,factura,received,P018,ARC SUPAPA MOTOR D110 SET 2BUC,328,2.83,928.24,RO40000004,SC Agro Import SRL,
FC1844,2024-03-27,factura,issued,P004,Bujie tractor U650,31,12.23,379.13,RO89012345,SC Piese Tractor Nord SRL,
FC1844,2024-03-27,factura,issued,P002,Curea trapezoidala B68,19,21.56,409.64,RO89012345,SC Piese Tractor Nord SRL,
FC1844,2024-03-27,factura,issued,P007,Furtun hidraulic 1/2 1m,18,37.48,674.64,RO89012345,SC Piese Tractor Nord SRL,
FC1844,2024-03-27,factura,issued,P025,Cablu ambreiaj U651,8,27.86,222.88,RO89012345,SC Piese Tractor Nord SRL,
RF5172,2024-03-28,factura,received,P022,FILTRU MOTORINA WF 8046 UNIV.,148,10.48,1551.04,RO40000005,SC Pompe si Filtre SRL,
RF5363,2024-03-28,factura,received,P016,INJECTOR ASS. PERKINS 3.152,32,67.87,2171.84,RO40000004,SC Agro Import SRL,
FC1010,2024-03-29,factura,issued,P005,Disc frictiune ambreiaj U650,30,214.74,6442.2,RO12345678,SC Agro Muntenia SRL,
FC1010,2024-03-29,factura,issued,P026,Buton contact pornire,11,8.9,97.9,RO12345678,SC Agro Muntenia SRL,
FC1546,2024-03-29,factura,issued,P003,Filtru ulei hidraulic JCB,27,85.68,2313.36,RO45678901,SC Agroservice Dobrogea SRL,
FC1546,2024-03-29,factura,issued,P017,Pompa injectie Lucas DPC,1,769.4,769.4,RO45678901,SC Agroservice Dobrogea SRL,
FC1546,2024-03-29,factura,issued,P023,Radiator apa tractor 4 cilindri,3,324.64,973.92,RO45678901,SC Agroservice Dobrogea SRL,
FC1634,2024-03-29,factura,issued,P005,Disc frictiune ambreiaj U650,11,207.27,2279.97,RO23456789,SC Ferma Verde SRL,
FC1634,2024-03-29,factura,issued,P024,Garnitura capac distributie,17,14.92,253.64,RO23456789,SC Ferma Verde SRL,
FC1634,2024-03-29,factura,issued,P025,Cablu ambreiaj U651,12,27.7,332.4,RO23456789,SC Ferma Verde SRL,
FC1634,2024-03-29,factura,issued,P004,Bujie tractor U650,48,12.2,585.6,RO23456789,SC Ferma Verde SRL,
FC1783,2024-03-29,factura,issued,P017,Pompa injectie Lucas DPC,1,786.21,786.21,RO67890123,SC Agrotrans Olt SRL,
FC1783,2024-03-29,factura,issued,P003,Filtru ulei hidraulic JCB,26,87.06,2263.56,RO67890123,SC Agrotrans Olt SRL,
FC1845,2024-03-29,factura,issued,P005,Disc frictiune ambreiaj U650,12,215.5,2586.0,RO89012345,SC Piese Tractor Nord SRL,
FC1845,2024-03-29,factura,issued,P013,Termostat motor 82C,11,32.03,352.33,RO89012345,SC Piese Tractor Nord SRL,
FC2098,2024-03-29,factura,issued,P019,Bieleta directie tractor,9,73.36,660.24,RO22334455,SC Utilaje Iasi SRL,
FC2098,2024-03-29,factura,issued,P020,Rulment roata fata 6307,14,41.55,581.7,RO22334455,SC Utilaje Iasi SRL,
FC2098,2024-03-29,factura,issued,P001,Rulment 6205-2RS SKF,32,28.72,919.04,RO22334455,SC Utilaje Iasi SRL,
FC2098,2024-03-29,factura,issued,P012,Lant transmisie 428H-128L,10,55.41,554.1,RO22334455,SC Utilaje Iasi SRL,
RF5262,2024-03-30,factura,received,P007,FURTUN HID. SAE100R2 DN12 1.0M,99,17.46,1728.54,RO40000002,SC Hidraulica Industriala SRL,
FC1011,2024-04-01,factura,issued,P026,Buton contact pornire,19,8.87,168.53,RO12345678,SC Agro Muntenia SRL,
FC1011,2024-04-01,factura,issued,P008,Garnitura chiulasa U650,10,93.56,935.6,RO12345678,SC Agro Muntenia SRL,
FC1279,2024-04-01,factura,issued,P013,Termostat motor 82C,13,32.85,427.05,RO78901234,SC Holding Cereale SRL,
FC1279,2024-04-01,factura,issued,P022,Filtru combustibil universal,18,24.25,436.5,RO78901234,SC Holding Cereale SRL,
FC1438,2024-04-01,factura,issued,P021,Placuta frana set 4buc,12,87.86,1054.32,RO34567890,SC Tehnica Agricola SA,
FC1438,2024-04-01,factura,issued,P003,Filtru ulei hidraulic JCB,36,83.33,2999.88,RO34567890,SC Tehnica Agricola SA,
FC1438,2024-04-01,factura,issued,P018,Arc supapa motor D-110,57,6.46,368.22,RO34567890,SC Tehnica Agricola SA,
FC1438,2024-04-01,factura,issued,P012,Lant transmisie 428H-128L,8,55.39,443.12,RO34567890,SC Tehnica Agricola SA,
FC2164,2024-04-01,factura,issued,P009,Filtru aer motor John Deere,7,60.59,424.13,RO33445566,SC Agro Moldova SRL,
FC2164,2024-04-01,factura,issued,P001,Rulment 6205-2RS SKF,25,28.74,718.5,RO33445566,SC Agro Moldova SRL,
FC2164,2024-04-01,factura,issued,P004,Bujie tractor U650,37,12.81,473.97,RO33445566,SC Agro Moldova SRL,
RF5031,2024-04-01,factura,received,P026,CONTACT CHEIE PORNIRE 2 POZITII,62,3.74,231.88,RO40000003,SC Auto Parts Distribution SA,
FC2040,2024-04-02,factura,issued,P013,Termostat motor 82C,12,32.29,387.48,RO11223344,SC Agro Suceava SRL,
FC2040,2024-04-02,factura,issued,P016,Injector motor diesel Perkins,4,146.53,586.12,RO11223344,SC Agro Suceava SRL,
FC2040,2024-04-02,factura,issued,P005,Disc frictiune ambreiaj U650,16,204.03,3264.48,RO11223344,SC Agro Suceava SRL,
FC1547,2024-04-03,factura,issued,P007,Furtun hidraulic 1/2 1m,22,38.91,856.02,RO45678901,SC Agroservice Dobrogea SRL,
FC1547,2024-04-03,factura,issued,P016,Injector motor diesel Perkins,10,141.33,1413.3,RO45678901,SC Agroservice Dobrogea SRL,
FC1012,2024-04-04,factura,issued,P019,Bieleta directie tractor,33,71.57,2361.81,RO12345678,SC Agro Muntenia SRL,
FC1012,2024-04-04,factura,issued,P026,Buton contact pornire,17,8.85,150.45,RO12345678,SC Agro Muntenia SRL,
FC1280,2024-04-05,factura,issued,P012,Lant transmisie 428H-128L,6,54.59,327.54,RO78901234,SC Holding Cereale SRL,
FC1280,2024-04-05,factura,issued,P009,Filtru aer motor John Deere,10,62.95,629.5,RO78901234,SC Holding Cereale SRL,
FC1711,2024-04-05,factura,issued,P012,Lant transmisie 428H-128L,8,54.44,435.52,RO56789012,SC Utilaje Campiei SRL,
FC2099,2024-04-05,factura,issued,P011,Semering ax roata 50x72x10,20,9.28,185.6,RO22334455,SC Utilaje Iasi SRL,
FC2099,2024-04-05,factura,issued,P002,Curea trapezoidala B68,25,21.77,544.25,RO22334455,SC Utilaje Iasi SRL,
RF5339,2024-04-05,factura,received,P011,SEMERING NBR 50x72x10 DIN3760,100,4.24,424.0,RO40000001,SC Rulmenti SA Barlad,
FC1013,2024-04-08,factura,issued,P004,Bujie tractor U650,85,12.6,1071.0,RO12345678,SC Agro Muntenia SRL,
FC1013,2024-04-08,factura,issued,P003,Filtru ulei hidraulic JCB,51,86.49,4410.99,RO12345678,SC Agro Muntenia SRL,
FC1439,2024-04-08,factura,issued,P011,Semering ax roata 50x72x10,32,9.61,307.52,RO34567890,SC Tehnica Agricola SA,
FC1439,2024-04-08,factura,issued,P021,Placuta frana set 4buc,11,85.62,941.82,RO34567890,SC Tehnica Agricola SA,
FC1784,2024-04-08,factura,issued,P016,Injector motor diesel Perkins,5,147.92,739.6,RO67890123,SC Agrotrans Olt SRL,
FC1846,2024-04-08,factura,issued,P004,Bujie tractor U650,34,12.53,426.02,RO89012345,SC Piese Tractor Nord SRL,
FC1846,2024-04-08,factura,issued,P024,Garnitura capac distributie,9,15.34,138.06,RO89012345,SC Piese Tractor Nord SRL,
RF5510,2024-04-08,factura,received,P009,FILTRU AER PRIMAR JD AR50041,87,29.49,2565.63,RO40000005,SC Pompe si Filtre SRL,
FC1985,2024-04-09,factura,issued,P021,Placuta frana set 4buc,7,87.35,611.45,RO01234567,SC Mecanica Campului SRL,
FC1985,2024-04-09,factura,issued,P012,Lant transmisie 428H-128L,12,55.78,669.36,RO01234567,SC Mecanica Campului SRL,
FC1985,2024-04-09,factura,issued,P003,Filtru ulei hidraulic JCB,23,82.99,1908.77,RO01234567,SC Mecanica Campului SRL,
FC2100,2024-04-09,storno,issued,P002,Curea trapezoidala B68,-1,21.85,-21.85,RO22334455,SC Utilaje Iasi SRL,FC2099
RF5002,2024-04-09,factura,received,P024,GARNITURA CAPAC DISTRIBUTIE SET,175,6.4,1120.0,RO40000004,SC Agro Import SRL,
FC1281,2024-04-10,factura,issued,P010,Bolt piston 80mm,16,18.07,289.12,RO78901234,SC Holding Cereale SRL,
FC1281,2024-04-10,factura,issued,P017,Pompa injectie Lucas DPC,1,801.89,801.89,RO78901234,SC Holding Cereale SRL,
FC1281,2024-04-10,factura,issued,P018,Arc supapa motor D-110,38,6.52,247.76,RO78901234,SC Holding Cereale SRL,
FC1281,2024-04-10,factura,issued,P020,Rulment roata fata 6307,14,41.08,575.12,RO78901234,SC Holding Cereale SRL,
RF5191,2024-04-10,factura,received,P017,POMPA INJECTIE LUCAS DPC 4CIL,12,388.72,4664.64,RO40000004,SC Agro Import SRL,
RF5315,2024-04-10,factura,received,P002,CUREA B-68 LA TRAPEZ,195,10.68,2082.6,RO40000003,SC Auto Parts Distribution SA,
RF5483,2024-04-10,factura,received,P013,TERMOSTAT 82 GRADE UNIVERSAL,49,14.44,707.56,RO40000003,SC Auto Parts Distribution SA,
FC1282,2024-04-11,factura,issued,P016,Injector motor diesel Perkins,5,148.02,740.1,RO78901234,SC Holding Cereale SRL,
FC1282,2024-04-11,factura,issued,P020,Rulment roata fata 6307,10,40.97,409.7,RO78901234,SC Holding Cereale SRL,
FC1548,2024-04-11,factura,issued,P006,Pompa hidraulica seria 1,9,532.08,4788.72,RO45678901,SC Agroservice Dobrogea SRL,
FC1548,2024-04-11,factura,issued,P007,Furtun hidraulic 1/2 1m,24,36.88,885.12,RO45678901,SC Agroservice Dobrogea SRL,
FC1548,2024-04-11,factura,issued,P019,Bieleta directie tractor,16,73.65,1178.4,RO45678901,SC Agroservice Dobrogea SRL,
FC1635,2024-04-11,factura,issued,P026,Buton contact pornire,6,8.83,52.98,RO23456789,SC Ferma Verde SRL,
RF5537,2024-04-11,factura,received,P021,KIT PLACUTE FRANA FATA 4BUC,57,39.25,2237.25,RO40000003,SC Auto Parts Distribution SA,
RF5565,2024-04-11,factura,received,P010,BOLT PISTON D=80MM OTEL 42CrMo,85,8.63,733.55,RO40000004,SC Agro Import SRL,
FC1636,2024-04-12,storno,issued,P026,Buton contact pornire,-2,8.83,-17.66,RO23456789,SC Ferma Verde SRL,FC1635
FC1927,2024-04-12,factura,issued,P022,Filtru combustibil universal,27,24.16,652.32,RO90123456,SC Bazele Agriculturii SRL,
FC1927,2024-04-12,factura,issued,P004,Bujie tractor U650,42,12.7,533.4,RO90123456,SC Bazele Agriculturii SRL,
RF5091,2024-04-12,factura,received,P005,DISC AMBREIAJ COMPLET U-650 MAN,150,105.93,15889.5,RO40000004,SC Agro Import SRL,
RF5061,2024-04-13,factura,received,P004,BUJIE M14x1.25 ECH. U650,279,5.79,1615.41,RO40000003,SC Auto Parts Distribution SA,
RF5217,2024-04-14,factura,received,P019,BIELETA DIRECTIE CAT.2 500MM,78,34.18,2666.04,RO40000002,SC Hidraulica Industriala SRL,
FC1014,2024-04-15,factura,issued,P008,Garnitura chiulasa U650,18,97.83,1760.94,RO12345678,SC Agro Muntenia SRL,
FC1712,2024-04-15,factura,issued,P001,Rulment 6205-2RS SKF,31,28.29,876.99,RO56789012,SC Utilaje Campiei SRL,
FC1712,2024-04-15,factura,issued,P002,Curea trapezoidala B68,21,22.05,463.05,RO56789012,SC Utilaje Campiei SRL,
